empid,firstname,lastname,gender,email,dateofbirth,ageinyears,weightinkgs,yearofjoining,ssn,phoneno,city,zip,region,userid,password,stat
850297,Shawna,Buck,F,shawna.buck@gmail.com,12/12/1971,45.66,44,2010,222-11-7603,702-771-7149,Las Vegas,89128,West,swbuck,ja8?k3BTF^]o@<&,Running
304721,Nathaniel,Burke,M,nathaniel.burke@walmart.com,10/31/1993,23.76,52,2017,550-99-9897,231-765-6923,Irons,49644,Midwest,nzburke,tPA@4Wh9Ja$+Ln,Stop
412317,Elisabeth,Foster,F,elisabeth.foster@gmail.com,11/26/1994,22.68,42,2017,215-91-0004,270-749-4774,Lexington,40501,South,ewfoster,5D.B4IGNkWJfG<~,Stop
621375,Briana,Lancaster,F,briana.lancaster@yahoo.com,11/24/1975,41.7,43,2003,534-71-1053,219-623-8216,Munster,46321,Midwest,bclancaster,I%?JDM;pW,Stop
787549,Estella,Potter,F,estella.potter@gmail.com,3/13/1995,22.39,58,2016,644-29-6396,907-677-8486,Fairbanks,99709,West,elpotter,j4jkEXfC&Rh,Running
520092,Lamont,Woods,M,lamont.woods@hotmail.com,10/13/1991,25.81,59,2014,037-74-2595,236-597-8196,Purcellville,20134,South,llwoods,8tf/YU}>s,Running
795934,Melinda,Lopez,F,melinda.lopez@hotmail.com,9/15/1984,32.89,55,2005,541-83-6362,210-396-1493,Stowell,77661,South,mllopez,hf*&Gcb[,Running
159108,Shanna,Silva,F,shanna.silva@gmail.com,6/19/1958,59.15,48,1999,673-48-7003,236-373-6712,Herndon,20171,South,susilva,oudj2Bq4vc2_{PU,Running
330816,Jasmine,Freeman,F,jasmine.freeman@gmail.com,8/31/1961,55.95,55,1983,600-99-8437,423-796-1535,Ocoee,37361,South,jjfreeman,Q.8<Q>K*H\*6f,Running
532002,Madge,Sargent,F,madge.sargent@aol.com,10/2/1981,35.84,58,2006,177-86-7347,217-910-0644,Springfield,62712,Midwest,mvsargent,bc\&B81h,Running
612850,Bethany,Cline,F,bethany.cline@yahoo.ca,10/1/1986,30.84,48,2008,700-18-6519,215-970-5881,Montgomery,17752,Northeast,bzcline,6wvl^0+zl.b/1,Running
483751,Reid,Randolph,M,reid.randolph@gmail.com,1/20/1989,28.54,78,2017,343-11-4951,209-996-8902,Pacoima,91331,West,rfrandolph,Uc@^[]cqnZs,Stop
252938,Antoine,Wiley,M,antoine.wiley@verizon.net,2/22/1996,21.44,61,2017,078-02-8772,503-361-6334,Canby,97013,West,ahwiley,r~4%7~uU|I<4CJ,Stop
966375,Mathew,Hodge,M,mathew.hodge@hotmail.com,7/5/1995,22.08,89,2016,161-86-9547,209-294-7430,Van Nuys,91404,West,mohodge,1E7oKc:M!cKsgq,Running
